"",DEM,REP,GRN,LIB,WCP,BAR,UNAF,OTH,TOTAL
OARD ACTION,0,0,0,0,0,0,0,0,0
ONFIRMATION MAIL,10,2,0,0,0,0,1,0,13
OUNTY TRANSFER - OUT,"11,091","3,200",39,86,2,6,"3,928",199,"18,551"
RIMINAL CONVICTION,22,5,1,0,0,0,9,0,37
EATH NOTICE,"2,120","1,051",4,4,0,0,370,47,"3,596"
UPLICATE,142,29,0,0,0,0,36,0,207
AIL VERIFICATION (NVRA),0,0,0,0,0,0,1,0,1
ENTAL INCOMPETENCY,0,0,0,0,0,0,0,0,0
OVED OUT OF STATE,974,521,4,7,0,0,274,20,"1,800"
THER,7,4,0,0,0,0,7,2,20
OTER REQUEST,29,22,0,0,0,0,12,0,63
